city,city_development_index
city_103,0.92
city_40,0.7759999999999999
city_21,0.624
city_115,0.789
city_162,0.767
city_176,0.764
city_160,0.92
city_46,0.762
city_61,0.913
city_114,0.926
city_13,0.8270000000000001
city_159,0.843
city_102,0.804
city_67,0.855
city_100,0.887
city_16,0.91
city_71,0.884
city_104,0.924
city_64,0.6659999999999999
city_101,0.5579999999999999
city_83,0.923
city_105,0.794
city_73,0.754
city_75,0.939
city_41,0.8270000000000001
city_11,0.55
city_93,0.865
city_90,0.698
city_36,0.893
city_20,0.7959999999999999
city_57,0.866
city_152,0.698
city_19,0.682
city_65,0.802
city_74,0.579
city_173,0.878
city_136,0.897
city_98,0.949
city_97,0.925
city_50,0.8959999999999999
city_138,0.836
city_82,0.693
city_157,0.769
city_89,0.925
city_150,0.698
city_70,0.698
city_175,0.7759999999999999
city_94,0.698
city_28,0.939
city_59,0.775
city_165,0.903
city_145,0.555
city_142,0.727
city_26,0.698
city_12,0.64
city_37,0.794
city_43,0.516
city_116,0.743
city_23,0.899
city_99,0.915
city_149,0.6890000000000001
city_10,0.895
city_45,0.89
city_80,0.847
city_128,0.527
city_158,0.7659999999999999
city_123,0.738
city_7,0.647
city_72,0.795
city_106,0.698
city_143,0.74
city_78,0.579
city_109,0.701
city_24,0.698
city_134,0.698
city_48,0.493
city_144,0.84
city_91,0.691
city_146,0.735
city_133,0.742
city_126,0.479
city_118,0.722
city_9,0.743
city_167,0.921
city_27,0.848
city_84,0.698
city_54,0.856
city_39,0.898
city_79,0.698
city_76,0.698
city_77,0.83
city_81,0.73
city_131,0.68
city_44,0.725
city_117,0.698
city_155,0.556
city_33,0.4479999999999999
city_141,0.763
city_127,0.745
city_62,0.645
city_53,0.74
city_25,0.698
city_2,0.7879999999999999
city_69,0.856
city_120,0.78
city_111,0.698
city_30,0.698
city_1,0.847
city_140,0.856
city_179,0.512
city_55,0.7390000000000001
city_14,0.698
city_42,0.563
city_107,0.518
city_18,0.8240000000000001
city_139,0.487
city_180,0.698
city_166,0.649
city_121,0.7809999999999999
city_129,0.625
city_8,0.698
city_31,0.807
city_171,0.664
