Rank,enrollee_id,city,city_development_index,education_level,major_discipline,experience,company_type,company_size,training_hours,relevent_experience,actual_target,predicted_probability
1,10543,city_21,0.624,Masters,STEM,5.0,Funded Startup,10/49,11,Has relevent experience,0.0,0.8285714285714286
2,20403,city_21,0.624,Graduate,STEM,3.0,Pvt Ltd,10000+,21,Has relevent experience,1.0,0.8
3,7978,city_21,0.624,Graduate,STEM,2.0,Pvt Ltd,10000+,14,Has relevent experience,1.0,0.7714285714285715
4,26465,city_11,0.55,Graduate,STEM,2.0,Pvt Ltd,<10,20,No relevent experience,1.0,0.7714285714285715
5,30200,city_21,0.624,Graduate,STEM,6.0,Pvt Ltd,10000+,13,Has relevent experience,0.0,0.7714285714285715
6,29960,city_21,0.624,Graduate,STEM,8.0,Pvt Ltd,100-500,48,Has relevent experience,1.0,0.7714285714285715
7,29020,city_21,0.624,Graduate,STEM,7.0,Pvt Ltd,100-500,72,Has relevent experience,1.0,0.7428571428571429
8,23520,city_21,0.624,Graduate,STEM,9.0,Pvt Ltd,10000+,12,Has relevent experience,1.0,0.7428571428571429
9,29016,city_21,0.624,Masters,STEM,2.0,Pvt Ltd,100-500,214,No relevent experience,0.0,0.7428571428571429
10,13863,city_101,0.5579999999999999,Graduate,STEM,7.0,Pvt Ltd,100-500,74,Has relevent experience,1.0,0.7428571428571429
